SpeciesName	Compartment	IC	HGNC
Mep27	Nucleus	1.122585115	"CCNE1, CCNE2, CDK2, CDKN1B"
Pe	Nucleus	141.2881402	CDC25A
Pai	Nucleus	49.17500389	CDC25B
Pei	Nucleus	16.02256602	CDC25A
Pbi	Nucleus	55.29821475	CDC25C
Ca	Nucleus	4.029092509	CCNA2
Mai	Nucleus	14.03683866	"CCNA2, CDK2"
Ma	Nucleus	5.235356085	"CCNA2, CDK2"
Map27	Nucleus	1.283844951	"CCNA2, CDK2, CDKN1B"
p27	Nucleus	20.43549408	CDKN1B 
Cdh1i	Nucleus	0.598588463	CDH1
Cdh1a	Nucleus	108.8028846	CDH1
E2Fp	Nucleus	11.60507992	"E2F1, E2F2, E2F3"
p27p	Nucleus	4.204625911	CDKN1B 
Pa	Nucleus	41.64971959	CDC25B
Cb	Nucleus	3.443669431	CCNB1
Mbi	Nucleus	3.901124927	"CCNB1, CDK1"
Mb	Nucleus	0.684271965	"CCNB1, CDK1"
Cdc20i	Nucleus	71.16747301	CDC20
Cdc20a	Nucleus	0.730146345	CDC20
Pb	Nucleus	9.403016576	CDC25C
Wee1	Nucleus	26.5188928	WEE1 
Wee1p	Nucleus	16.74041512	WEE1 
Mbp27	Nucleus	0.083900623	"CCNB1, CDK1, CDKN1B"
Chk1	Nucleus	0.149772044	CHEK1 
pRBc1	Nucleus	8918.824124	"RB1, E2F1, E2F2, E2F3"
pRBc2	Nucleus	0.299128469	"RB1, E2F1, E2F2, E2F3"
p21	Nucleus	20.87340931	CDKN1A 
Mdp21	Nucleus	0.482638982	"CCND1, CCND2, CCND3, CDK4, CDK6, CDKN1A"
Mep21	Nucleus	0.229328256	"CCNE1, CCNE2, CDK2, CDKN1A"
Map21	Nucleus	0.262271405	"CCNA2, CDK2, CDKN1A"
Mbp21	Nucleus	0.017139702	"CCNB1, CDK1, CDKN1A"
L	Extracellular	2.21E-17	TNFSF10
R	Cytoplasm	8.031117651	"TNFRSF10A, TNFRSF10B"
L_R	Cytoplasm	2.24E-16	"TNFSF10, TNFRSF10A, TNFRSF10B"
Ractive	Cytoplasm	7.56E-20	"TNFRSF10A, TNFRSF10B"
flip	Cytoplasm	0.525920351	CFLAR
Ractive_flip	Cytoplasm	1.05E-19	"TNFRSF10A, TNFRSF10B, CFLAR"
pC8	Cytoplasm	26.5263809	"CASP8, CASP10"
Ractive_pC8	Cytoplasm	6.34E-21	"TNFRSF10A, TNFRSF10B, CASP8, CASP10"
C8	Cytoplasm	0.000505187	"CASP8, CASP10"
Bar	Cytoplasm	0.841153961	BFAR
C8_Bar	Cytoplasm	0.001306372	"BFAR, CASP8, CASP10"
pC3	Cytoplasm	79.9328682	"CASP3, CASP7"
C8_pC3	Cytoplasm	0.00637693	"CASP8, CASP10, CASP3, CASP7"
C3	Cytoplasm	0.000202566	"CASP3, CASP7"
pC6	Cytoplasm	47.67662922	CASP6
C3_pC6	Cytoplasm	3.05E-08	"CASP3, CASP7, CASP6"
C6	Cytoplasm	0.000573321	CASP6
C6_C8	Cytoplasm	1.44E-07	"CASP6, CASP8, CASP10"
XIAP	Cytoplasm	5.269689424	XIAP
C3_XIAP	Cytoplasm	6.68E-05	"CASP3, CASP7, XIAP"
PARP	Cytoplasm	639.6157705	PARP1
C3_PARP	Cytoplasm	4.06E-06	"CASP3, CASP7, PARP1"
cPARP	Cytoplasm	1.619665788	PARP1
Bid	Cytoplasm	50.47541201	BID
C8_Bid	Cytoplasm	7.31E-05	"CASP8, CASP10, BID"
tBid	Cytoplasm	1.60E-06	BID
Bcl2c	Cytoplasm	12.4806229	"BCL2, BCL2L1, MCL1"
tBid_Bcl2c	Cytoplasm	5.62E-05	"BID, BCL2, BCL2L1, MCL1"
Bax	Cytoplasm	88.22685878	BAX
tBid_Bax	Cytoplasm	4.46E-08	"BID, BAX"
Baxactive	Cytoplasm	0.000144181	BAX
Baxm	Mitochondrion	0.001926774	BAX
Bcl2	Mitochondrion	1.780761749	"BCL2, BCL2L1, MCL1"
Baxm_Bcl2	Mitochondrion	0.009670088	"BAX, BCL2, BCL2L1, MCL1"
Bax2	Mitochondrion	0.000117383	BAX
Bax2_Bcl2	Mitochondrion	0.000589124	"BAX, BCL2, BCL2L1, MCL1"
Bax4	Mitochondrion	4.36E-07	BAX
Bax4_Bcl2	Mitochondrion	2.19E-06	"BAX, BCL2, BCL2L1, MCL1"
M	Mitochondrion	2259.969091	
Bax4_M	Mitochondrion	3.11E-06	BAX
Mactive	Mitochondrion	0.000311028	
CytoCm	Mitochondrion	15542.58969	CYC1
Mactive_CytoCm	Mitochondrion	0.02779284	CYC1
CytoCr	Mitochondrion	0.277855003	CYC1
Smacm	Mitochondrion	1450.93993	DIABLO
Mactive_Smacm	Mitochondrion	0.002594532	DIABLO
Smacr	Mitochondrion	0.020839319	DIABLO
CytoC	Cytoplasm	0.019447281	CYC1
Apaf	Cytoplasm	0.096890421	APAF1
CytoC_Apaf	Cytoplasm	2.98E-06	"CYC1, APAF1"
Apafactive	Cytoplasm	0.010993387	APAF1
pC9	Cytoplasm	3.457423761	PCSK9
Apop	Cytoplasm	0.003099874	"PCSK9, APAF1"
Apop_C3	Cytoplasm	0.003541869	"PCSK9, APAF1, CASP3, CASP7"
Smac	Cytoplasm	0.001101639	DIABLO
Apop_XIAP	Cytoplasm	0.10043813	"PCSK9, APAF1, XIAP"
Smac_XIAP	Cytoplasm	0.124928576	"DIABLO, XIAP"
C3_Ub	Cytoplasm	2.870304688	"CASP3, CASP7"
BAD	Cytoplasm	0.0950796	BAD
PUMA	Cytoplasm	0.029099068	BBC3
NOXA	Cytoplasm	0.00555714	PMAIP1
Bcl2c_BAD	Cytoplasm	3.344393378	"BCL2, BCL2L1, MCL1, BAD"
Bcl2c_PUMA	Cytoplasm	1.023550054	"BCL2, BCL2L1, MCL1, PUMA"
Bcl2c_NOXA	Cytoplasm	0.194362218	"BCL2, BCL2L1, MCL1, NOXA"
BIM	Cytoplasm	0.060385347	BCL2L11
BIM_Bax	Cytoplasm	8.41E-08	"BCL2L11, BAX"
Bcl2c_BIM	Cytoplasm	2.124034525	"BCL2, BCL2L1, MCL1, BCL2L11"
ppERK_BIM	Cytoplasm	0.000597003	"MAPK1, MAPK3, BCL2L11"
pBIM	Cytoplasm	0.105817811	BCL2L11
ppAKT_BAD	Cytoplasm	3.36E-05	"AKT1, AKT2, BAD"
pBAD	Cytoplasm	0.891280886	BAD
ppERK_BAD	Cytoplasm	0.000940057	"MAPK1, MAPK3, BAD"
E	Extracellular	8.40E-17	EGF
H	Extracellular	9.33E-15	NRG1
HGF	Extracellular	2.30E-15	HGF
P	Extracellular	2.86E-19	PDGFB
F	Extracellular	4.13E-16	"FGF1, FGF2"
I	Extracellular	1.26E-18	"IGF1, IGF2"
INS	Extracellular	8.95E-15	INS
E1	Cytoplasm	50.1219597	EGFR
pE1	Cytoplasm	4.954806943	EGFR
E2	Cytoplasm	3.805080167	ERBB2
pE2	Cytoplasm	0.376170746	ERBB2
E3	Cytoplasm	1.739750707	ERBB3
E4	Cytoplasm	7.27E-28	ERBB4
pE4	Cytoplasm	7.18E-29	ERBB4
Ev3	Cytoplasm	4.65E-11	
Met	Cytoplasm	8.573223223	MET
Pr	Cytoplasm	0.229676008	"PDGFRA, PDGFRB"
Fr	Cytoplasm	0.186712963	"FGFR1, FGFR2"
Ir	Cytoplasm	0.02181479	IGF1R
Isr	Cytoplasm	0.029796214	INSR
E1E1	Cytoplasm	2.512172788	EGFR
E1E2	Cytoplasm	0.190715186	"EGFR, ERBB2"
E1E3	Cytoplasm	0.087198394	"EGFR, ERBB3"
E1E4	Cytoplasm	3.64E-29	"EGFR, ERBB4"
E2E2	Cytoplasm	0.014478485	ERBB2
E2E3	Cytoplasm	0.006619809	"ERBB2, ERBB3"
E2E4	Cytoplasm	2.76E-30	"ERBB2, ERBB4"
E3E4	Cytoplasm	1.26E-30	ERBB3
E4E4	Cytoplasm	5.28E-58	ERBB4
Met_Met	Cytoplasm	0.073499675	MET
FrFr	Cytoplasm	3.49E-05	"FGF1, FGF2"
IrIr	Cytoplasm	0.726899086	IGF1R
Isr_Isr	Cytoplasm	0.308939856	INSR
EE1	Cytoplasm	1.57E-17	"EGF, EGFR"
HE3	Cytoplasm	1.56E-16	"NRG1, ERBB3"
HE4	Cytoplasm	6.50E-44	"NRG1, ERBB4"
HGF_Met	Cytoplasm	7.11E-14	"HGF, MET"
PPr	Cytoplasm	6.56E-20	"PDGFB, PDGFRA, PDGFRB"
FFr	Cytoplasm	3.01E-16	"FGF1, FGF2, FGFR1, FGFR2"
EE1E2	Cytoplasm	1.72E-16	"EGF, EGFR, ERBB2"
EE1Ev3	Cytoplasm	6.31E-28	"EGF, EGFR"
EE1E1	Cytoplasm	4.30E-16	"EGF, EGFR"
EE1E3	Cytoplasm	7.78E-17	"EGF, EGFR, ERBB3"
EE1E4	Cytoplasm	9.32E-45	"EGF, EGFR, ERBB4"
E2HE3	Cytoplasm	5.38E-16	"ERBB2, NRG1, ERBB3"
E1HE3	Cytoplasm	6.26E-15	"EGFR, NRG1, ERBB3"
HE3E3	Cytoplasm	2.71E-16	"NRG1, ERBB3"
HE3Ev3	Cytoplasm	7.15E-27	"NRG1, ERBB3"
HE3E4	Cytoplasm	1.12E-43	"NRG1, ERBB3, ERBB4"
E2HE4	Cytoplasm	2.25E-43	"ERBB2, NRG1, ERBB4"
HE4Ev3	Cytoplasm	3.00E-54	"NRG1, ERBB4"
E1HE4	Cytoplasm	2.62E-42	"EGFR, NRG1, ERBB4"
E3HE4	Cytoplasm	1.04E-43	"ERBB3, NRG1, ERBB4"
HE4E4	Cytoplasm	4.36E-71	"NRG1, ERBB4"
HGF_Met_Met	Cytoplasm	5.23E-13	"HGF, MET"
PPrPr	Cytoplasm	3.21E-38	"PDGFB, PDGFRA, PDGFRB"
FFrFr	Cytoplasm	4.94E-16	"FGF1, FGF2, FGFR1, FGFR2"
IIrIr	Cytoplasm	5.14E-19	"IGF1, IGF2, IGF1R"
INS_Isr_Isr	Cytoplasm	6.87E-17	"INS, INSR"
EE1EE1	Cytoplasm	1.01E-33	"EGF, EGFR"
EE1HE3	Cytoplasm	4.04E-32	"EGF, EGFR, NRG1, ERBB3"
EE1HE4	Cytoplasm	1.00E-59	"EGF, EGFR, NRG1, ERBB4"
HE3HE3	Cytoplasm	9.23E-32	"NRG1, ERBB3"
HE3HE4	Cytoplasm	7.00E-59	"NRG1, ERBB3, ERBB4"
HE4HE4	Cytoplasm	1.49E-86	"NRG1, ERBB4"
HGF_Met_HGF_Met	Cytoplasm	8.32E-27	"HGF, MET"
PPrPPr	Cytoplasm	2.15E-41	"PDGFB, PDGFRA, PDGFRB"
FFrFFr	Cytoplasm	2.17E-31	"FGF1, FGF2, FGFR1, FGFR2"
IIrIrI	Cytoplasm	6.08E-38	"IGF1, IGF2, IGF1R"
INS_Isr_Isr_INS	Cytoplasm	3.16E-34	"INS, INSR"
E1_ppERK	Cytoplasm	0.495555753	"EGFR, MAPK1, MAPK3"
E2_ppERK	Cytoplasm	0.037620985	"ERBB2, MAPK1, MAPK3"
E4_ppERK	Cytoplasm	7.18E-30	"ERBB4, MAPK1, MAPK3"
pEE1E2	Cytoplasm	1.71E-16	"EGF, EGFR, ERBB2"
pEE1Ev3	Cytoplasm	6.29E-28	"EGF, EGFR"
pEE1E1	Cytoplasm	4.24E-16	"EGF, EGFR"
pEE1EE1	Cytoplasm	9.94E-34	"EGF, EGFR"
pEE1E3	Cytoplasm	7.74E-17	"EGF, EGFR, ERBB3"
pEE1HE3	Cytoplasm	4.02E-32	"EGF, EGFR, NRG1, ERBB3"
pEE1E4	Cytoplasm	9.28E-45	"EGF, EGFR, ERBB4"
pEE1HE4	Cytoplasm	1.00E-59	"EGF, EGFR, NRG1, ERBB4"
pE2HE3	Cytoplasm	5.37E-16	"ERBB2, NRG1, ERBB3"
pHE3Ev3	Cytoplasm	7.15E-27	"NRG1, ERBB3"
pE1HE3	Cytoplasm	6.23E-15	"EGFR, NRG1, ERBB3"
pHE3E4	Cytoplasm	1.12E-43	"NRG1, ERBB3, ERBB4"
pHE3HE4	Cytoplasm	7.00E-59	"NRG1, ERBB3, ERBB4"
pE2HE4	Cytoplasm	2.25E-43	"ERBB2, NRG1, ERBB4"
pHE4Ev3	Cytoplasm	3.00E-54	"NRG1, ERBB4"
pE1HE4	Cytoplasm	2.61E-42	"EGFR, NRG1, ERBB4"
pE3HE4	Cytoplasm	1.04E-43	"ERBB3, NRG1, ERBB4"
pHE4E4	Cytoplasm	4.35E-71	"NRG1, ERBB4"
pHE4HE4	Cytoplasm	1.49E-86	"NRG1, ERBB4"
pHGF_Met_Met	Cytoplasm	5.22E-13	"HGF, MET"
pHGF_Met_HGF_Met	Cytoplasm	8.31E-27	"HGF, MET"
pPPrPPr	Cytoplasm	2.15E-41	"PDGFB, PDGFRA, PDGFRB"
pPPrPr	Cytoplasm	3.21E-38	"PDGFB, PDGFRA, PDGFRB"
pFFrFFr	Cytoplasm	2.17E-31	"FGF1, FGF2, FGFR1, FGFR2"
pFFrFr	Cytoplasm	4.93E-16	"FGF1, FGF2, FGFR1, FGFR2"
pIIrIr	Cytoplasm	5.14E-19	"IGF1, IGF2, IGF1R"
pINS_Isr_Isr	Cytoplasm	6.86E-17	"INS, INSR"
pIIrIrI	Cytoplasm	6.08E-38	"IGF1, IGF2, IGF1R"
pINS_Isr_Isr_INS	Cytoplasm	3.16E-34	"INS, INSR"
pIIrIr_IRS	Cytoplasm	3.75E-19	"IGF1, IGF2, IGF1R, IRS1, IRS2"
pINS_Isr_Isr_IRS	Cytoplasm	4.96E-17	"INS, INSR, IRS1, IRS2"
pIIrIrI_IRS	Cytoplasm	4.43E-38	"IGF1, IGF2, IGF1R, IGF2R, IRS1, IRS2"
pINS_Isr_Isr_INS_IRS	Cytoplasm	2.28E-34	"INS, INSR, IRS1, IRS2"
Sp_EE1E2	Cytoplasm	2.83E-18	"SPRY2, EGF, EGFR, ERBB2"
Sp_EE1Ev3	Cytoplasm	1.04E-29	"SPRY2, EGF, EGFR"
Sp_EE1E1	Cytoplasm	7.09E-18	"SPRY2, EGF, EGFR"
Sp_EE1EE1	Cytoplasm	1.66E-35	"SPRY2, EGF, EGFR"
Sp_EE1E3	Cytoplasm	1.28E-18	"SPRY2, EGF, EGFR, ERBB3"
Sp_EE1HE3	Cytoplasm	6.66E-34	"SPRY2, EGF, EGFR, NRG1, ERBB3"
Sp_EE1E4	Cytoplasm	1.54E-46	"SPRY2, EGF, EGFR, ERBB4"
Sp_EE1HE4	Cytoplasm	1.66E-61	"SPRY2, EGF, EGFR, NRG1, ERBB4"
Sp_E2HE3	Cytoplasm	8.87E-18	"SPRY2, ERBB2, NRG1, ERBB3"
Sp_HE3Ev3	Cytoplasm	1.18E-28	"SPRY2, NRG1, ERBB3"
Sp_E1HE3	Cytoplasm	1.03E-16	"SPRY2, EGFR, NRG1, ERBB3"
Sp_HE3E4	Cytoplasm	1.84E-45	"SPRY2, NRG1, ERBB3, ERBB4"
Sp_HE3HE4	Cytoplasm	1.16E-60	"SPRY2, NRG1, ERBB3, ERBB4"
Sp_E2HE4	Cytoplasm	3.71E-45	"SPRY2, ERBB2, NRG1, ERBB4"
Sp_HE4Ev3	Cytoplasm	4.96E-56	"SPRY2, NRG1, ERBB4"
Sp_E1HE4	Cytoplasm	4.32E-44	"SPRY2, EGFR, NRG1, ERBB4"
Sp_E3HE4	Cytoplasm	1.71E-45	"SPRY2, ERBB3, NRG1, ERBB4"
Sp_HE4E4	Cytoplasm	7.20E-73	"SPRY2, NRG1, ERBB4"
Sp_HE4HE4	Cytoplasm	2.46E-88	"SPRY2, NRG1, ERBB4"
Sp_HGF_Met_Met	Cytoplasm	8.62E-15	"SPRY2, HGF, MET"
Sp_HGF_Met_HGF_Met	Cytoplasm	1.37E-28	"SPRY2, HGF, MET"
Sp_PPrPPr	Cytoplasm	3.55E-43	"SPRY2, PDGFB, PDGFRA, PDGFRB"
Sp_PPrPr	Cytoplasm	5.30E-40	"SPRY2, PDGFB, PDGFRA, PDGFRB"
Sp_FFrFFr	Cytoplasm	3.59E-33	"SPRY2, FGF1, FGF2, FGFR1, FGFR2"
Sp_FFrFr	Cytoplasm	8.14E-18	"SPRY2, FGF1, FGF2, FGFR1, FGFR2"
Sp_IIrIr	Cytoplasm	8.49E-21	"SPRY2, IGF1, IGF2, IGF1R"
Sp_INS_Isr_Isr	Cytoplasm	1.13E-18	"SPRY2, INS, INSR"
Sp_IIrIrI	Cytoplasm	1.00E-39	"SPRY2, IGF1, IGF2, IGF1R, IGF2R"
Sp_INS_Isr_Isr_INS	Cytoplasm	5.22E-36	"SPRY2, INS, INSR"
EE1E2int	Cytoplasm	6.12E-16	"EGF, EGFR, ERBB2"
EE1Ev3int	Cytoplasm	2.25E-27	"EGF, EGFR"
EE1E1int	Cytoplasm	2.12E-15	"EGF, EGFR"
EE1EE1int	Cytoplasm	4.96E-33	"EGF, EGFR"
EE1E3int	Cytoplasm	2.78E-16	"EGF, EGFR, ERBB3"
EE1HE3int	Cytoplasm	1.44E-31	"EGF, EGFR, NRG1, ERBB3"
EE1E4int	Cytoplasm	3.33E-44	"EGF, EGFR, ERBB4"
EE1HE4int	Cytoplasm	3.59E-59	"EGF, EGFR, NRG1, ERBB4"
E2HE3int	Cytoplasm	2.08E-16	"ERBB2, NRG1, ERBB3"
HE3Ev3int	Cytoplasm	2.76E-27	"NRG1, ERBB3"
E1HE3int	Cytoplasm	2.23E-14	"EGFR, NRG1, ERBB3"
HE3E4int	Cytoplasm	4.32E-44	"NRG1, ERBB3, ERBB4"
HE3HE4int	Cytoplasm	2.71E-59	"NRG1, ERBB3, ERBB4"
E2HE4int	Cytoplasm	8.70E-44	"ERBB2, NRG1, ERBB4"
HE4Ev3int	Cytoplasm	1.16E-54	"NRG1, ERBB4"
E1HE4int	Cytoplasm	9.36E-42	"EGFR, NRG1, ERBB4"
E3HE4int	Cytoplasm	4.01E-44	"ERBB3, NRG1, ERBB4"
HE4E4int	Cytoplasm	1.68E-71	"NRG1, ERBB4"
HE4HE4int	Cytoplasm	5.77E-87	"NRG1, ERBB4"
HGF_Met_Metint	Cytoplasm	2.02E-13	"HGF, MET"
HGF_Met_HGF_Metint	Cytoplasm	3.21E-27	"HGF, MET"
PPrPPrint	Cytoplasm	8.30E-42	"PDGFB, PDGFRA, PDGFRB"
PPrPrint	Cytoplasm	1.24E-38	"PDGFB, PDGFRA, PDGFRB"
FFrFFrint	Cytoplasm	8.40E-32	"FGF1, FGF2, FGFR1, FGFR2"
FFrFrint	Cytoplasm	1.91E-16	"FGF1, FGF2, FGFR1, FGFR2"
IIrIr_int	Cytoplasm	8.08E-19	"IGF1, IGF2, IGF1R"
INS_Isr_Isr_int	Cytoplasm	1.54E-16	"INS, INSR"
IIrIrI_int	Cytoplasm	9.56E-38	"IGF1, IGF2, IGF1R"
INS_Isr_Isr_INS_int	Cytoplasm	7.09E-34	"INS, INSR"
pEE1E2int	Cytoplasm	6.13E-16	"EGF, EGFR, ERBB2"
pEE1Ev3int	Cytoplasm	2.26E-27	"EGF, EGFR"
pEE1E1int	Cytoplasm	2.12E-15	"EGF, EGFR"
pEE1EE1int	Cytoplasm	4.97E-33	"EGF, EGFR"
pEE1E3int	Cytoplasm	2.78E-16	"EGF, EGFR, ERBB3"
pEE1HE3int	Cytoplasm	1.44E-31	"EGF, EGFR, NRG1, ERBB3"
pEE1E4int	Cytoplasm	3.33E-44	"EGF, EGFR, ERBB4"
pEE1HE4int	Cytoplasm	3.59E-59	"EGF, EGFR, NRG1, ERBB4"
pE2HE3int	Cytoplasm	2.08E-16	"ERBB2, NRG1, ERBB3"
pHE3Ev3int	Cytoplasm	2.77E-27	"NRG1, ERBB3"
pE1HE3int	Cytoplasm	2.24E-14	"EGFR, NRG1, ERBB3"
pHE3E4int	Cytoplasm	4.32E-44	"NRG1, ERBB3, ERBB4"
pHE3HE4int	Cytoplasm	2.71E-59	"NRG1, ERBB3, ERBB4"
pE2HE4int	Cytoplasm	8.71E-44	"ERBB2, NRG1, ERBB4"
pHE4Ev3int	Cytoplasm	1.16E-54	"NRG1, ERBB4"
pE1HE4int	Cytoplasm	9.37E-42	"EGFR, NRG1, ERBB4"
pE3HE4int	Cytoplasm	4.01E-44	"ERBB3, NRG1, ERBB4"
pHE4E4int	Cytoplasm	1.69E-71	"NRG1, ERBB4"
pHE4HE4int	Cytoplasm	5.78E-87	"NRG1, ERBB4"
pHGF_Met_Metint	Cytoplasm	2.02E-13	"HGF, MET"
pHGF_Met_HGF_Metint	Cytoplasm	3.22E-27	"HGF, MET"
pPPrPPrint	Cytoplasm	8.32E-42	"PDGFB, PDGFRA, PDGFRB"
pPPrPrint	Cytoplasm	1.24E-38	"PDGFB, PDGFRA, PDGFRB"
pFFrFFrint	Cytoplasm	8.41E-32	"FGF1, FGF2, FGFR1, FGFR2"
pFFrFrint	Cytoplasm	1.91E-16	"FGF1, FGF2, FGFR1, FGFR2"
pIIrIr_int	Cytoplasm	8.09E-19	"IGF1, IGF2, IGF1R"
pINS_Isr_Isr_int	Cytoplasm	1.54E-16	"INS, INSR"
pIIrIrI_int	Cytoplasm	9.56E-38	"IGF1, IGF2, IGF1R"
pINS_Isr_Isr_INS_int	Cytoplasm	7.10E-34	"INS, INSR"
pIIrIr_int_IRS	Cytoplasm	6.00E-19	"IGF1, IGF2, IGF1R, IRS1, IRS2"
pINS_Isr_Isr_int_IRS	Cytoplasm	1.14E-16	"INS, INSR, IRS1, IRS2"
pIIrIrI_int_IRS	Cytoplasm	7.09E-38	"IGF1, IGF2, IGF1R, IGF2R, IRS1, IRS2"
pINS_Isr_Isr_INS_int_IRS	Cytoplasm	5.26E-34	"INS, INSR, IRS1, IRS2"
pEE1E2_G2_SOS	Cytoplasm	1.66E-19	"EGF, EGFR, ERBB2, GRB2, SOS1"
pEE1Ev3_G2_SOS	Cytoplasm	6.79E-31	"EGF, EGFR, GRB2, SOS1"
pEE1E1_G2_SOS	Cytoplasm	4.59E-19	"EGF, EGFR, GRB2, SOS1"
pEE1EE1_G2_SOS	Cytoplasm	1.07E-36	"EGF, EGFR, GRB2, SOS1"
pEE1E3_G2_SOS	Cytoplasm	6.69E-20	"EGF, EGFR, ERBB3, GRB2, SOS1"
pEE1HE3_G2_SOS	Cytoplasm	3.47E-35	"EGF, EGFR, NRG1, ERBB3, GRB2, SOS1"
pEE1E4_G2_SOS	Cytoplasm	1.10E-47	"EGF, EGFR, ERBB4, GRB2, SOS1"
pEE1HE4_G2_SOS	Cytoplasm	1.19E-62	"EGF, EGFR, NRG1, ERBB4, GRB2, SOS1"
pE2HE3_G2_SOS	Cytoplasm	4.07E-19	"ERBB2, NRG1, ERBB3, GRB2, SOS1"
pHE3Ev3_G2_SOS	Cytoplasm	6.18E-30	"NRG1, ERBB3, GRB2, SOS1"
pE1HE3_G2_SOS	Cytoplasm	5.39E-18	"EGFR, NRG1, ERBB3, GRB2, SOS1"
pHE3E4_G2_SOS	Cytoplasm	1.09E-46	"NRG1, ERBB3, ERBB4, GRB2, SOS1"
pHE3HE4_G2_SOS	Cytoplasm	6.80E-62	"NRG1, ERBB3, ERBB4, GRB2, SOS1"
pE2HE4_G2_SOS	Cytoplasm	2.43E-46	"ERBB2, NRG1, ERBB4, GRB2, SOS1"
pHE4Ev3_G2_SOS	Cytoplasm	3.57E-57	"NRG1, ERBB4, GRB2, SOS1"
pE1HE4_G2_SOS	Cytoplasm	3.10E-45	"EGFR, NRG1, ERBB4, GRB2, SOS1"
pE3HE4_G2_SOS	Cytoplasm	1.01E-46	"ERBB3, NRG1, ERBB4, GRB2, SOS1"
pHE4E4_G2_SOS	Cytoplasm	5.65E-74	"NRG1, ERBB4, GRB2, SOS1"
pHE4HE4_G2_SOS	Cytoplasm	1.93E-89	"NRG1, ERBB4, GRB2, SOS1"
pHGF_Met_Met_G2_SOS	Cytoplasm	1.13E-16	"HGF, MET, GRB2, SOS1"
pHGF_Met_HGF_Met_G2_SOS	Cytoplasm	1.80E-30	"HGF, MET, GRB2, SOS1"
pPPrPPr_G2_SOS	Cytoplasm	2.32E-45	"PDGFB, PDGFRA, PDGFRB, GRB2, SOS1"
pPPrPr_G2_SOS	Cytoplasm	3.47E-42	"PDGFB, PDGFRA, PDGFRB, GRB2, SOS1"
pFFrFFr_G2_SOS	Cytoplasm	1.88E-34	"FGF1, FGF2, FGFR1, FGFR2, GRB2, SOS1"
pFFrFr_G2_SOS	Cytoplasm	4.26E-19	"FGF1, FGF2, FGFR1, FGFR2, GRB2, SOS1"
pIIrIr_IRS_G2_SOS	Cytoplasm	2.03E-22	"IGF1, IGF2, IGF1R, GRB2, SOS1"
pINS_Isr_Isr_IRS_G2_SOS	Cytoplasm	3.75E-20	"INS, INSR, GRB2, SOS1"
pIIrIrI_IRS_G2_SOS	Cytoplasm	2.39E-41	"IGF1, IGF2, IGF1R, GRB2, SOS1"
pINS_Isr_Isr_INS_IRS_G2_SOS	Cytoplasm	1.73E-37	"INS, INSR, GRB2, SOS1"
pEE1E2int_G2_SOS	Cytoplasm	5.96E-19	"EGF, EGFR, ERBB2, GRB2, SOS1"
